,Date,Rent/Buy,Where,Address,ZipCode,Description,Type,NbOfRooms,Surface,Floor,Price,Source
1,17/03/2017,Rent,Lausanne,Rue Petit-Saint-Jean1,1003 Lausanne,"Superbe studio fraîchement rénové - hyper centre-ville, sans vis-à-vis. Avec salle de douche/WC, cuisinière entièrement agencée. Contact visites : B. Mezghiche - DOMICIM - barbara.mezghiche@domicim...",Appartement,1,30 m2,2.,CHF 940.–,Immostreet
2,17/03/2017,Rent,Lausanne,,1003 Lausanne,"A louer, Rue de la Mercerie 16 à Lausanne, joli studio de 19 m2, rafraîchi, situé au 2ème étage. Idéalement situé au coeur de la ville de Lausanne, dans le quartier historique de la Cité, ce sudio ...",Studio,1,19 m2,2.,CHF 950.–,Immostreet
3,17/03/2017,Rent,Lausanne,Rue St-Laurent 29,1003 Lausanne,"Au coeur de la ville, dans la zone piétonnière. De nombreux commerces sont situés à proximité immédiate. Les bus, le métro ainsi que le parking de la Riponne sont à 2 minutes à pieds. Pas de buande...",Studio,1,,1.,CHF 1'010.–,Immostreet
4,17/03/2017,Rent,Lausanne,Place Chauderon 30,1003 Lausanne,"1 chambre, cuisine avec réchaud 2 plaques, réfrigérateur, hotte, four micro-ondes, salle de bains-wc, cave. 1 an de location : Fr. 1'130.- + 70.- charges (+3 mois de garantie bancaire = Fr. 3'390.-...",Studio,1,21 m2,5.,CHF 1'200.–,Immostreet
5,17/03/2017,Rent,Lausanne,Ruelle de Bourg 11,1003 Lausanne,"Situé proche de toutes commodités et des transports publics, cet appartement de 2.5p au 2ème étage se trouve dans un immeuble entièrement rénové en 2013. Il comprend: - Cuisine équipée ouverte - Pi...",Appartement,2.5,44 m2,,CHF 1'990.–,Immostreet
6,17/03/2017,Rent,Lausanne,Rue St-Laurent 12,1003 Lausanne,"Charmant appartement de 3 pièces lumineux au centre ville de Lausanne. Comprenant un hall d'entrée, wc séparé, salle de bain avec baignoire et de grandes pièces. Cuisine agencée, balcon. L'immeuble...",Appartement,3,73 m2,5.,CHF 2'000.–,Immostreet
7,17/03/2017,Rent,Lausanne,Rue Charles Monnard 6,1003 Lausanne,"Bel appartement avec cuisine agencée (lave-vaisselle, vitrocéram), salle de bains, WC séparé, parquet dans les chambres, balcon , immeuble avec ascenseur. Idéalement situé au centre de Lausanne, à ...",Appartement,3.5,99 m2,2.,CHF 2'505.–,Immostreet
8,17/03/2017,Rent,Lausanne,Rue Saint-Martin 25,1003 Lausanne,"Nous proposons à la location, un magnifique appartement de 3.5 pièces en duplex dans un immeuble récent et idéalement situé en ville de Lausanne (proche des commerces et des transports publics). Le...",Duplex,3.5,109 m2,1.,CHF 2'630.–,Immostreet
9,17/03/2017,Rent,Lausanne,Rue Charles Monnard 6,1003 Lausanne,"Magnifique appartement de 3,5 pièces, 88m2 avec terrasse, vue panoraomique sur le lac, cuisine agencée (lave-vaisselle, vitrocéram), grand salon avec parquet un beau mosaïque et 2 chambres. L'immeu...",Appartement,3.5,88 m2,5.,CHF 2'790.–,Immostreet
10,17/03/2017,Rent,Lausanne,Rue Centrale 15,1003 Lausanne,"Appartement de 93 m2 environ, comprenant une cuisine ouverte sur le salon, deux chambres, une salle de bain avec WC et WC séparé. Celui-ci dispose d'une buanderie privative de 9m2 ainsi qu'une cave...",Appartement,3,93 m2,5.,CHF 2'945.–,Immostreet
11,17/03/2017,Rent,Lausanne,Rue Centrale 15,1003 Lausanne,"Centre-ville avec une grande terrasse de 30 m². Dans un bâtiment récemment et entièrement rénové avec des matériaux modernes alliant élégance et sobriété, vous trouverez au dernier étage un spacieu...",Appartement,2,110 m2,6.,CHF 2'950.–,Immostreet
12,17/03/2017,Rent,Lausanne,Rue de Genève 7,1003 Lausanne,Appartement loft de 88m2 au plein coeur de Lausanne et à proximité du métro M1. Ce logement offrant de grands volumes se compose comme suit: Hall meublable Wc séparé Cuisine ouverte sur le séjour C...,Appartement,2,90 m2,3.,CHF 3'009.–,Immostreet
13,17/03/2017,Rent,Lausanne,St-François,1003 Lausanne,"Centre ville - St-françois, immeuble rénové vue sur les toits. Appartements duplex meublés de 4,5 pièces  (80m2)  2chambres à coucher, salle de bain wc, salle de douche,  grand salon / salle à mang...",Appartement,4.5,120 m2,4.,CHF 3'300.–,Immostreet
